X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.881535,35.752247,2318 Walden Creek Drive,Walden Creek,2565,1997,4,2,1,Detached,"$385,000","$386,000",0-.25 Acres,7,562,0.9805,"$342,406.00",No,1,2,2,2,1,NA,Apex,NC,place
-78.8693069224606,35.7337879925088,1083 Mosstree Drive,Amherst,3503,2001,5,2,1,Detached,"$399,900","$388,000",.26-.5 Acres,10,0,1.004,"$325,986.00",No,1,2,92,92,0.97,NA,Apex,NC,place
-78.886611840809607,35.7292216636762,303 Cedar Wynd Drive,Scotts Mill,2610,2000,3,2,1,Detached,"$375,000","$388,500",0-.25 Acres,9,0,0.9805,"$328,462.00",No,1,2,3,3,1.04,NA,Apex,NC,place
-78.8197832624499,35.7376706686196,1038 Kingsway Drive,Buckingham,3114,1992,4,3,1,Detached,"$389,900","$388,900",.26-.5 Acres,12,0,0.9805,"$315,517.00",No,1,2,7,7,1,NA,Apex,NC,place
-78.8766647849708,35.7275558648131,406 Village Loop Drive,Green at Scotts Mill,2718,2007,4,2,1,Detached,"$400,000","$390,000",0-.25 Acres,7,1e3,1.02,"$355,717.00",No,1,2,22,22,0.98,NA,Apex,NC,place
-78.8785434760517,35.7329211335276,1202 Pendula Path,Dogwood Ridge,3013,1999,4,3,0,Detached,"$415,000","$397,500",.26-.5 Acres,10,1464,0.9805,"$337,825.00",No,1,2,39,39,0.96,NA,Apex,NC,place
-78.898244152335,35.7443859961348,102 Chantilly Court,Abbington,2608,1999,4,2,1,Detached,"$399,900","$398,000",0-.25 Acres,10,0,1.0045,"$378,127.00",No,1,2,88,88,1,NA,Apex,NC,place
-78.877137,35.742979,1400 Fairfax Woods Drive,Beckett Crossing,3798,2004,5,3,0,Detached,"$415,000","$399,000",.26-.5 Acres,12,800,1.0045,"$391,863.00",No,1,2,79,79,0.96,NA,Apex,NC,place
-78.8423107941177,35.7459605882353,931 Tender Drive,The Villages of Apex,2624,2008,3,3,0,Detached,"$405,000","$400,000",0-.25 Acres,8,0,0.9805,"$355,988.00",No,1,2,4,4,0.99,NA,Apex,NC,place
-78.907281511969,35.7121567399409,1932 Lazio Lane,Bella Casa,2809,2010,4,3,0,Detached,"$409,000","$400,000",0-.25 Acres,10,0,1.0045,"$382,511.00",No,1,2,15,15,0.98,NA,Apex,NC,place
